             t                      X                      Y       
 0.99000000E+00 0.11274685E+04 0.54878932E+03
 0.10000000E+01 0.11262910E+04 0.55571328E+03
 0.10100000E+01 0.11249582E+04 0.56271046E+03
 0.10200000E+01 0.11234688E+04 0.56977968E+03
 0.10300000E+01 0.11218220E+04 0.57691961E+03
 0.10400000E+01 0.11200169E+04 0.58412884E+03
 0.10500000E+01 0.11180528E+04 0.59140588E+03
 0.10600000E+01 0.11159289E+04 0.59874909E+03
 0.10700000E+01 0.11136447E+04 0.60615676E+03
 0.10800000E+01 0.11111999E+04 0.61362706E+03
 0.10900000E+01 0.11085942E+04 0.62115805E+03
 0.11000000E+01 0.11058273E+04 0.62874768E+03
 0.11100000E+01 0.11028993E+04 0.63639381E+03
 0.11200000E+01 0.10998102E+04 0.64409417E+03
 0.11300000E+01 0.10965603E+04 0.65184637E+03
 0.11400000E+01 0.10931500E+04 0.65964795E+03
 0.11500000E+01 0.10895798E+04 0.66749630E+03
 0.11600000E+01 0.10858502E+04 0.67538872E+03
 0.11700000E+01 0.10819622E+04 0.68332241E+03
 0.11800000E+01 0.10779166E+04 0.69129444E+03
 0.11900000E+01 0.10737146E+04 0.69930181E+03
 0.12000000E+01 0.10693573E+04 0.70734137E+03
 0.12100000E+01 0.10648462E+04 0.71540991E+03
 0.12200000E+01 0.10601827E+04 0.72350411E+03
 0.12300000E+01 0.10553686E+04 0.73162054E+03
 0.12400000E+01 0.10504056E+04 0.73975569E+03
 0.12500000E+01 0.10452956E+04 0.74790595E+03
 0.12600000E+01 0.10400409E+04 0.75606764E+03
 0.12700000E+01 0.10346436E+04 0.76423698E+03
 0.12800000E+01 0.10291061E+04 0.77241012E+03
 0.12900000E+01 0.10234309E+04 0.78058313E+03
 0.13000000E+01 0.10176207E+04 0.78875203E+03
 0.13100000E+01 0.10116782E+04 0.79691274E+03
 0.13200000E+01 0.10056065E+04 0.80506116E+03
 0.13300000E+01 0.99940840E+03 0.81319311E+03
 0.13400000E+01 0.99308722E+03 0.82130436E+03
 0.13500000E+01 0.98664618E+03 0.82939067E+03
 0.13600000E+01 0.98008868E+03 0.83744772E+03
 0.13700000E+01 0.97341822E+03 0.84547119E+03
 0.13800000E+01 0.96663838E+03 0.85345672E+03
 0.13900000E+01 0.95975287E+03 0.86139995E+03
 0.14000000E+01 0.95276547E+03 0.86929651E+03
 0.14100000E+01 0.94568006E+03 0.87714199E+03
 0.14200000E+01 0.93850058E+03 0.88493203E+03
 0.14300000E+01 0.93123105E+03 0.89266227E+03
 0.14400000E+01 0.92387558E+03 0.90032834E+03
 0.14500000E+01 0.91643830E+03 0.90792592E+03
 0.14600000E+01 0.90892343E+03 0.91545072E+03
 0.14700000E+01 0.90133521E+03 0.92289848E+03
 0.14800000E+01 0.89367793E+03 0.93026499E+03
 0.14900000E+01 0.88595592E+03 0.93754609E+03
 0.15000000E+01 0.87817352E+03 0.94473769E+03
 0.15100000E+01 0.87033511E+03 0.95183575E+03
 0.15200000E+01 0.86244504E+03 0.95883631E+03
 0.15300000E+01 0.85450772E+03 0.96573549E+03
 0.15400000E+01 0.84652752E+03 0.97252949E+03
 0.15500000E+01 0.83850881E+03 0.97921460E+03
 0.15600000E+01 0.83045594E+03 0.98578721E+03
 0.15700000E+01 0.82237325E+03 0.99224381E+03
 0.15800000E+01 0.81426505E+03 0.99858101E+03
 0.15900000E+01 0.80613559E+03 0.10047955E+04
 0.16000000E+01 0.79798910E+03 0.10108841E+04
 0.16100000E+01 0.78982977E+03 0.10168438E+04
 0.16200000E+01 0.78166172E+03 0.10226716E+04
 0.16300000E+01 0.77348902E+03 0.10283648E+04
 0.16400000E+01 0.76531567E+03 0.10339206E+04
 0.16500000E+01 0.75714561E+03 0.10393366E+04
 0.16600000E+01 0.74898269E+03 0.10446103E+04
 0.16700000E+01 0.74083071E+03 0.10497394E+04
 0.16800000E+01 0.73269336E+03 0.10547220E+04
 0.16900000E+01 0.72457426E+03 0.10595559E+04
 0.17000000E+01 0.71647693E+03 0.10642393E+04
 0.17100000E+01 0.70840481E+03 0.10687707E+04
 0.17200000E+01 0.70036123E+03 0.10731483E+04
 0.17300000E+01 0.69234943E+03 0.10773709E+04
 0.17400000E+01 0.68437256E+03 0.10814372E+04
 0.17500000E+01 0.67643364E+03 0.10853461E+04
 0.17600000E+01 0.66853561E+03 0.10890966E+04
 0.17700000E+01 0.66068128E+03 0.10926879E+04
 0.17800000E+01 0.65287338E+03 0.10961194E+04
 0.17900000E+01 0.64511452E+03 0.10993904E+04
 0.18000000E+01 0.63740718E+03 0.11025008E+04
 0.18100000E+01 0.62975376E+03 0.11054500E+04
 0.18200000E+01 0.62215654E+03 0.11082382E+04
 0.18300000E+01 0.61461769E+03 0.11108652E+04
 0.18400000E+01 0.60713927E+03 0.11133312E+04
 0.18500000E+01 0.59972322E+03 0.11156366E+04
 0.18600000E+01 0.59237140E+03 0.11177816E+04
 0.18700000E+01 0.58508554E+03 0.11197668E+04
 0.18800000E+01 0.57786727E+03 0.11215929E+04
 0.18900000E+01 0.57071810E+03 0.11232605E+04
 0.19000000E+01 0.56363948E+03 0.11247706E+04
 0.19100000E+01 0.55663271E+03 0.11261240E+04
 0.19200000E+01 0.54969903E+03 0.11273219E+04
 0.19300000E+01 0.54283954E+03 0.11283655E+04
 0.19400000E+01 0.53605529E+03 0.11292559E+04
 0.19500000E+01 0.52934720E+03 0.11299946E+04
 0.19600000E+01 0.52271612E+03 0.11305829E+04
 0.19700000E+01 0.51616280E+03 0.11310224E+04
 0.19800000E+01 0.50968792E+03 0.11313147E+04
 0.19900000E+01 0.50329204E+03 0.11314614E+04
 0.20000000E+01 0.49697569E+03 0.11314643E+04
 0.20100000E+01 0.49073928E+03 0.11313251E+04
 0.20200000E+01 0.48458315E+03 0.11310458E+04
 0.20300000E+01 0.47850759E+03 0.11306283E+04
 0.20400000E+01 0.47251279E+03 0.11300745E+04
 0.20500000E+01 0.46659889E+03 0.11293865E+04
 0.20600000E+01 0.46076596E+03 0.11285663E+04
 0.20700000E+01 0.45501401E+03 0.11276160E+04
 0.20800000E+01 0.44934297E+03 0.11265379E+04
 0.20900000E+01 0.44375274E+03 0.11253341E+04
 0.21000000E+01 0.43824316E+03 0.11240068E+04
 0.21100000E+01 0.43281399E+03 0.11225582E+04
 0.21200000E+01 0.42746498E+03 0.11209907E+04
 0.21300000E+01 0.42219581E+03 0.11193066E+04
 0.21400000E+01 0.41700611E+03 0.11175080E+04
 0.21500000E+01 0.41189548E+03 0.11155975E+04
 0.21600000E+01 0.40686348E+03 0.11135773E+04
 0.21700000E+01 0.40190963E+03 0.11114497E+04
 0.21800000E+01 0.39703340E+03 0.11092171E+04
 0.21900000E+01 0.39223426E+03 0.11068820E+04
 0.22000000E+01 0.38751161E+03 0.11044466E+04
 0.22100000E+01 0.38286485E+03 0.11019133E+04
 0.22200000E+01 0.37829334E+03 0.10992844E+04
 0.22300000E+01 0.37379641E+03 0.10965624E+04
 0.22400000E+01 0.36937339E+03 0.10937496E+04
 0.22500000E+01 0.36502356E+03 0.10908483E+04
 0.22600000E+01 0.36074620E+03 0.10878608E+04
 0.22700000E+01 0.35654057E+03 0.10847895E+04
 0.22800000E+01 0.35240590E+03 0.10816367E+04
 0.22900000E+01 0.34834142E+03 0.10784046E+04
 0.23000000E+01 0.34434634E+03 0.10750955E+04
 0.23100000E+01 0.34041987E+03 0.10717116E+04
 0.23200000E+01 0.33656119E+03 0.10682552E+04
 0.23300000E+01 0.33276949E+03 0.10647286E+04
 0.23400000E+01 0.32904394E+03 0.10611338E+04
 0.23500000E+01 0.32538370E+03 0.10574730E+04
 0.23600000E+01 0.32178795E+03 0.10537484E+04
 0.23700000E+01 0.31825584E+03 0.10499621E+04
 0.23800000E+01 0.31478652E+03 0.10461161E+04
 0.23900000E+01 0.31137916E+03 0.10422126E+04
 0.24000000E+01 0.30803289E+03 0.10382534E+04
 0.24100000E+01 0.30474689E+03 0.10342408E+04
 0.24200000E+01 0.30152028E+03 0.10301766E+04
 0.24300000E+01 0.29835224E+03 0.10260627E+04
 0.24400000E+01 0.29524192E+03 0.10219011E+04
 0.24500000E+01 0.29218848E+03 0.10176936E+04
 0.24600000E+01 0.28919108E+03 0.10134421E+04
 0.24700000E+01 0.28624889E+03 0.10091485E+04
 0.24800000E+01 0.28336108E+03 0.10048145E+04
 0.24900000E+01 0.28052683E+03 0.10004418E+04
 0.25000000E+01 0.27774531E+03 0.99603222E+03
 0.25100000E+01 0.27501573E+03 0.99158744E+03
